concept1,concept2,score,grounded_angle_7d,in_complement_band
MEEK,ACCOMMODATE,8.164901733398438,38.2,False
JOURNEY,EXPAND,8.136917114257812,20.8,False
TIME,FLOAT,8.133544921875,59.0,False
COMMUNITY,HIGH,8.12006950378418,42.6,False
SPACE,BODY,8.112668991088867,40.1,False
ABSORB,MONOPOLIZE,8.106236457824707,43.7,False
WITHHOLD,ANIMAL,8.103373527526855,53.7,False
REST,DEVICE,8.09140396118164,60.8,True
THAT,BELIEVE,8.089414596557617,103.7,True
WARM,ACTIVE,8.07998275756836,19.4,False
GRADUAL,SIZE,8.07072925567627,75.3,True
CLARITY,DECIDE,8.07016658782959,34.6,False
WILL,QUESTION,8.065143585205078,26.6,False
NATURE,PURPOSE,8.05230712890625,35.7,False
COLD,TASTE,8.04232406616211,63.1,True
ANXIETY,UNITY,8.037650108337402,45.2,False
DEPRIVE,FORGIVE,8.033727645874023,42.8,False
INSIGHT,EFFORT,8.033374786376953,30.4,False
GROUND,SPREAD,8.031081199645996,68.0,True
BEING,SPARK,8.02033519744873,48.3,False
SEEK,INSIGHT,8.020109176635742,28.3,False
RELEASE,PEAK,8.01952075958252,70.2,True
THOUGHT,INSIGHT,8.01599407196045,27.7,False
EMPTY,TOGETHER,8.011998176574707,72.1,True
ABIDING,SUBCONSCIOUS,8.007899284362793,57.5,False
EARTH,PERIL,8.006881713867188,53.8,False
FALSEHOOD,TRANSFORM,8.004195213317871,88.6,True
HOPE,FREE,7.990906715393066,41.8,False
FIRE,REMOTE,7.986848831176758,70.1,True
THAT,APEX,7.980566501617432,73.0,True
HOLD,NOVICE,7.97926139831543,83.3,True
LIGHT,REASON,7.974050521850586,66.1,True
UNSTABLE,LULL,7.969928741455078,56.6,False
ENDURE,MEEK,7.969043731689453,65.5,True
PATH,CLEAR,7.961564064025879,50.0,False
FORGIVE,REASON,7.960028648376465,32.3,False
HEAD,ANIMAL,7.9459309577941895,26.2,False
SLOW,YIELD,7.944149017333984,49.8,False
ALL,SADNESS,7.942265033721924,80.2,True
ABOVE,CLEAN,7.938438415527344,29.5,False
SLOW,COURAGE,7.937634468078613,85.2,True
LOVE,PURPOSE,7.936684608459473,39.3,False
LIGHT,FUNDAMENTAL,7.93159818649292,55.4,False
NONE,EXPRESS,7.927694320678711,77.4,True
TIME,NEVER,7.922503471374512,53.6,False
MONOPOLIZE,NIGHT,7.921969413757324,47.4,False
WANT,TASTE,7.916353225708008,17.0,False
PUSH,DESPAIR,7.912552356719971,74.7,True
HEAD,ARM,7.912059783935547,10.7,False
SHAME,TOP,7.901852607727051,112.9,True
THOUGHT,COMPREHEND,7.898718357086182,22.6,False
SOFT,IMMENSE,7.894055366516113,59.4,False
INSIGHT,CAUSE,7.884681701660156,24.9,False
BACKWARD,BEFORE,7.884027481079102,42.3,False
ALL,ACCOMMODATE,7.882128715515137,74.4,True
PATH,PERSIST,7.869864463806152,65.9,True
STABLE,SOUND,7.869014739990234,71.7,True
ASCENDING,MIST,7.866764068603516,66.5,True
TRUTH,FALL,7.866164207458496,95.2,True
ABIDING,BE,7.864679336547852,81.1,True
FLOW,PLAY,7.853329658508301,49.9,False
HOPE,FIGHT,7.8496809005737305,55.9,False
