concept1,concept2,score,grounded_angle_7d,in_complement_band
ALWAYS,ABSORB,8.081132888793945,80.4,True
LEARN,MANY,8.06883430480957,65.6,True
FIRE,ENDURE,8.044905662536621,70.5,True
THAT,LAUNCH,8.043578147888184,74.3,True
ACTIVE,WRONG,8.041346549987793,56.6,False
DISMAY,EUPHORIA,8.036460876464844,57.6,False
IN,SOFT,8.027938842773438,70.2,True
ACCEPT,NARROW,8.024369239807129,70.5,True
PITCH_THROW,NET_MESH,8.01810359954834,44.4,False
CONTAIN,HIGH,7.990636825561523,57.5,False
VEILED,ANIMAL,7.979935646057129,51.7,False
STABLE,AWAKEN,7.974618911743164,75.0,True
ANXIETY,ASSURANCE,7.967891693115234,52.8,False
FREEDOM,SYCOPHANCY,7.965397834777832,75.4,True
MEET,PERSIST,7.951594352722168,72.0,True
COOL,SEAL,7.9292449951171875,55.1,False
JUSTICE,NONE,7.916802406311035,49.6,False
HIDDEN,WEAK,7.909670829772949,47.6,False
ABOVE,PART,7.909276008605957,73.3,True
HIBERNATE,LEAP,7.9017720222473145,57.9,False
BECOMING,END,7.899864673614502,66.3,True
THINK,SADNESS,7.892495155334473,51.5,False
COOL,TRIGGER,7.8921732902526855,58.9,False
SPARK,EVAPORATE,7.891252517700195,61.6,True
ABOVE,EMPTY,7.889997482299805,64.0,True
MEET,ABSORB,7.888737678527832,36.2,False
TIME,NATURE,7.888670921325684,78.1,True
BEFORE,AND,7.868966102600098,91.4,True
ABOVE,END,7.868964672088623,83.9,True
ABIDING,ERUPT_VERB,7.854001522064209,78.4,True
SEPARATION,STONE,7.850006580352783,82.8,True
CALM,SHOCK,7.84130334854126,65.8,True
OVER,DISMAY,7.834163665771484,72.4,True
ABOVE,TERROR,7.830240249633789,80.1,True
ACTIVE,DECIDE,7.829058647155762,33.7,False
WITHER,WRITE,7.8231682777404785,53.8,False
BECOMING,FUNDAMENTAL,7.821179389953613,64.4,True
BACKWARD,FORGET,7.821096420288086,81.5,True
SMALL,JOY,7.81927490234375,75.4,True
FORBID,TOOL,7.816603660583496,49.2,False
SHAME,MIND,7.808343887329102,66.2,True
BIG,MINUTE_SIZE,7.807035446166992,53.8,False
END,MOUNTAIN,7.802020072937012,76.7,True
MORE,DEFICIT,7.793451309204102,54.6,False
BECOMES,ESSENCE,7.791619300842285,69.5,True
SLOW,AND,7.7838287353515625,89.3,True
ABIDING,GRATITUDE,7.783746242523193,86.1,True
PASSIVE,RISE,7.781426429748535,55.2,False
STILLNESS,ACTIVE,7.778435707092285,73.8,True
THINK,COULD,7.774966239929199,57.8,False
ORDER,PAST,7.77164888381958,58.6,False
EMPTY,LEVEL,7.754795074462891,48.7,False
ABOVE,MORAL,7.75092887878418,46.4,False
LIGHT,WAIT,7.745366096496582,61.4,True
DARK,CHAOS,7.742562294006348,33.1,False
LOVE,SADNESS,7.737818717956543,59.3,False
ABSORB,WITNESS,7.732627868652344,73.2,True
ABOVE,RIGHT,7.719597816467285,58.6,False
DESPAIR,EMERGE,7.719185829162598,56.1,False
HAPPINESS,DISMAY,7.706186294555664,62.3,True
LESS,ABUNDANCE,7.7040557861328125,56.8,False
FIRE,CALM,7.697633266448975,51.9,False
YIELD,ABYSS,7.695494174957275,36.6,False
SUFFER,WITNESS,7.695211410522461,65.4,True
ABIDING,UNITY,7.693016529083252,79.0,True
NEED,IMAGINE,7.689023971557617,53.8,False
LESS,SURPLUS,7.688011169433594,57.0,False
HOT,SLEEP,7.687612533569336,63.0,True
COAX,DEMAND,7.664340496063232,54.0,False
DARK,AWAKEN,7.662851810455322,65.8,True
END,FLASH,7.662472248077393,65.6,True
MEET,MONOPOLIZE,7.660757064819336,53.2,False
FEAR,REVEAL,7.658843040466309,59.4,False
GRIEF,ELATION,7.654247283935547,52.8,False
IMAGINE,WITHHOLD,7.652867317199707,57.2,False
OUT,THROUGH,7.651705741882324,72.2,True
PUSH,DECAY,7.651447296142578,54.4,False
THAT,ABOVE,7.65128755569458,71.1,True
JOY,GRIEF,7.646181106567383,50.8,False
REST,CONCENTRATE,7.644889831542969,23.4,False
THIS,INHIBIT,7.636285305023193,80.9,True
TAKE,SPAN,7.63051700592041,61.7,True
MIGHTY,SWAY,7.6257123947143555,62.4,True
RECEPTIVE,NOTHING,7.624080657958984,24.3,False
BRIGHT,FLUID,7.620898246765137,56.5,False
ABIDING,WARM,7.616128921508789,75.8,True
MAY,STEEL,7.6131086349487305,79.9,True
FULL,MAY,7.602286338806152,76.4,True
THIS,FLUID,7.598952770233154,68.5,True
FREEDOM,WITNESS,7.595664024353027,33.1,False
FALSEHOOD,UNSTABLE,7.591363906860352,65.2,True
ABYSS,RETREAT,7.589851379394531,45.9,False
PASSIVE,ALERT,7.587664604187012,56.2,False
SHAME,TERRAIN,7.585376739501953,78.2,True
DEATH,WILL,7.5840349197387695,67.7,True
SMALL,LOVE,7.582601547241211,74.6,True
REMAIN,HEALING,7.580975532531738,64.6,True
FOOD,WITHDRAWAL,7.57246732711792,36.0,False
RELEASE,TRANSFER,7.571825981140137,59.6,False
