concept1,concept2,proposed_type,decision,final_type,reason
RIGHT,OVER,complement,reject,,spatial axes cross (right/left; over/under)
UNITY,POSITION,complement,reject,,no true semantic relation on the dictionary's own terms
AND,DEPTH,complement,reject,,function-word degenerate
ABIDING,ASCENDING,complement,reject,,hub; diagonal (ascend/descend is the axis)
DISMAY,BLISS,complement,accept,complement,valence poles; core 94.9; ds .99
HAPPINESS,ENDURE,complement,reject,,not poles; core 119.3 marginal
AIR,ABSORB,complement,reject,,hub artifact
SADNESS,BLISS,complement,accept,complement,priority-list item; valence poles; core 92.0
FALL,OBSCURE,complement,reject,,no true semantic relation on the dictionary's own terms
CALM,ABYSS,complement,reject,,no true semantic relation on the dictionary's own terms
ALWAYS,ABSORB,complement,reject,,hub + function-word flavor
LEARN,MANY,complement,reject,,no true semantic relation on the dictionary's own terms
FIRE,ENDURE,complement,reject,,FIRE's pole is WATER; not a pair
THAT,LAUNCH,complement,reject,,function-word degenerate
ACTIVE,WRONG,complement,reject,,no true semantic relation on the dictionary's own terms
DISMAY,EUPHORIA,complement,accept,complement,valence poles; core 90.7; ds 1.00
IN,SOFT,complement,reject,,function-word degenerate
ACCEPT,NARROW,complement,reject,,no true semantic relation on the dictionary's own terms
PITCH_THROW,NET_MESH,complement,reject,,send/catch imagery but category-mismatched (action vs artifact)
CONTAIN,HIGH,complement,reject,,no true semantic relation on the dictionary's own terms
VEILED,ANIMAL,complement,reject,,no true semantic relation on the dictionary's own terms
STABLE,AWAKEN,complement,reject,,not opposites; 122.1 outside complement band
ANXIETY,ASSURANCE,complement,accept,complement,ASSURANCE description names the DREAD-complement family; apprehension/confidence; core 79.0
FREEDOM,SYCOPHANCY,complement,reject,,near-miss opposition (136.2 ds .89) but sycophancy's clean opposite is integrity/candor; FREEDOM-DEPENDENCE would be cleaner - flagged to main session
MEET,PERSIST,complement,reject,,no true semantic relation on the dictionary's own terms
COOL,SEAL,complement,reject,,no true semantic relation on the dictionary's own terms
JUSTICE,NONE,complement,reject,,no true semantic relation on the dictionary's own terms
HIDDEN,WEAK,complement,reject,,no true semantic relation on the dictionary's own terms
ABOVE,PART,complement,reject,,hub artifact
HIBERNATE,LEAP,complement,reject,,same shape as JUMP-HIBERNATE; diagonal
BECOMING,END,complement,reject,,diagonal; END-BEGINNING is the axis; BECOMING's family is the primes
THINK,SADNESS,complement,reject,,no true semantic relation on the dictionary's own terms
COOL,TRIGGER,complement,reject,,no true semantic relation on the dictionary's own terms
SPARK,EVAPORATE,complement,accept,complement,sudden-inception vs gradual-vanishing; ZHEN/XUN paired trigrams; core 94.2 ds .98
ABOVE,EMPTY,complement,reject,,no true semantic relation on the dictionary's own terms
MEET,ABSORB,complement,reject,,no true semantic relation on the dictionary's own terms
TIME,NATURE,complement,reject,,core 120.6 out of band; ds .40; not a pair
BEFORE,AND,complement,reject,,function-word degenerate
ABOVE,END,complement,reject,,hub artifact; ds .36
ABIDING,ERUPT_VERB,complement,reject,,hub; ds .45; prime vs specific verb
SEPARATION,STONE,complement,reject,,no true semantic relation on the dictionary's own terms
CALM,SHOCK,complement,accept,complement,priority item; equilibrium vs its sudden disruption; core 97.9
OVER,DISMAY,complement,reject,,function-word flavor; unrelated
ABOVE,TERROR,complement,reject,,hub artifact; ds .33
ACTIVE,DECIDE,complement,reject,,not poles; 21.0; kinship too generic for affinity
WITHER,WRITE,complement,reject,,no true semantic relation on the dictionary's own terms
BECOMING,FUNDAMENTAL,complement,reject,,no true semantic relation on the dictionary's own terms
BACKWARD,FORGET,complement,reject,,metaphoric (past=behind=forgotten); ds .37
SMALL,JOY,complement,reject,,no true semantic relation on the dictionary's own terms
FORBID,TOOL,complement,reject,,no true semantic relation on the dictionary's own terms
SHAME,MIND,complement,reject,,not poles; 133.5 out of complement band
BIG,MINUTE_SIZE,complement,accept,complement,size poles at the extreme (BIG-SMALL exists at 98.6); core 91.0 ds .96
END,MOUNTAIN,complement,reject,,no true semantic relation on the dictionary's own terms
MORE,DEFICIT,complement,reject,,diagonal; see MORE-SCARCITY
BECOMES,ESSENCE,complement,reject,,essence/flux is BEING-BECOMING territory; verb-noun diagonal
SLOW,AND,complement,reject,,function-word degenerate
ABIDING,GRATITUDE,complement,reject,,hub artifact; ds .09
PASSIVE,RISE,complement,reject,,diagonal (passive/active; rise/fall)
STILLNESS,ACTIVE,complement,accept,complement,priority item; absence-of-change vs dynamic engagement; core 106.7
THINK,COULD,complement,reject,,modal degenerate
ORDER,PAST,complement,reject,,no true semantic relation on the dictionary's own terms
EMPTY,LEVEL,complement,reject,,no true semantic relation on the dictionary's own terms
ABOVE,MORAL,complement,reject,,hub; moral-high-ground metaphor
LIGHT,WAIT,complement,reject,,no true semantic relation on the dictionary's own terms
DARK,CHAOS,complement,reject,,"mythic kinship, no shared dictionary axis; 20.9"
LOVE,SADNESS,complement,reject,,not poles (love/fear-hate; sadness/joy)
ABSORB,WITNESS,complement,reject,,hub; near-miss: absorption/witness polarity is the contemplative reading but ABSORB here is physical assimilation (polysemy)
ABOVE,RIGHT,complement,reject,,hub artifact
DESPAIR,EMERGE,complement,reject,,diagonal; DESPAIR-FAITH accepted instead
HAPPINESS,DISMAY,complement,accept,complement,priority item; valence poles; core 94.5 ds 1.00
LESS,ABUNDANCE,complement,reject,,diagonal; MORE-LESS and ABUNDANCE-DEFICIT cover the axes
FIRE,CALM,complement,reject,,no true semantic relation on the dictionary's own terms
YIELD,ABYSS,complement,reject,,no true relation; 56.2 also out of complement band
SUFFER,WITNESS,complement,accept,complement,identified-pain vs pure-observer - the witness-formula axis itself; GEN/GEN ds .96; core 109.9
ABIDING,UNITY,complement,reject,,hub artifact; ds .50 marginal
NEED,IMAGINE,complement,reject,,no true semantic relation on the dictionary's own terms
LESS,SURPLUS,complement,reject,,diagonal; SURPLUS-DEFICIT would be the clean axis
HOT,SLEEP,complement,reject,,no true semantic relation on the dictionary's own terms
COAX,DEMAND,complement,accept,complement,soft vs hard modes of getting-done; core exactly 90.0; ds .92
DARK,AWAKEN,complement,reject,,diagonal (dark/light; wake/sleep)
END,FLASH,complement,reject,,no true semantic relation on the dictionary's own terms
MEET,MONOPOLIZE,complement,reject,,no true semantic relation on the dictionary's own terms
FEAR,REVEAL,complement,reject,,diagonal (fear/courage; reveal/conceal)
GRIEF,ELATION,complement,accept,complement,SS12-named family; loss-sorrow vs exhilaration; core 79.0
IMAGINE,WITHHOLD,complement,reject,,no true semantic relation on the dictionary's own terms
OUT,THROUGH,complement,reject,,spatial function words; not poles
PUSH,DECAY,complement,reject,,no true semantic relation on the dictionary's own terms
THAT,ABOVE,complement,reject,,two hubs / function-words
JOY,GRIEF,complement,accept,complement,canonical poles; core 71.5; ds .96
REST,CONCENTRATE,complement,reject,,CONCENTRATE here is physical density (polysemy); 31.4 between bands
THIS,INHIBIT,complement,reject,,function-word degenerate
TAKE,SPAN,complement,reject,,no true semantic relation on the dictionary's own terms
MIGHTY,SWAY,complement,reject,,no true semantic relation on the dictionary's own terms
RECEPTIVE,NOTHING,complement,reject,,no true semantic relation on the dictionary's own terms
BRIGHT,FLUID,complement,reject,,no true semantic relation on the dictionary's own terms
ABIDING,WARM,complement,reject,,no true semantic relation on the dictionary's own terms
MAY,STEEL,complement,reject,,modal degenerate (tentative/adamant poetics noted)
FULL,MAY,complement,reject,,modal degenerate
THIS,FLUID,complement,reject,,function-word degenerate
FREEDOM,WITNESS,complement,retype,affinity,unbound-action kin to unbound-awareness; absence-of-constraint explicit in both descriptions; 36.4
FALSEHOOD,UNSTABLE,complement,reject,,"lies-are-precarious metaphor, not lexical kinship"
ABYSS,RETREAT,complement,reject,,no true semantic relation on the dictionary's own terms
PASSIVE,ALERT,complement,reject,,adjacent not opposite - receptive vigilance is coherent
SHAME,TERRAIN,complement,reject,,no true semantic relation on the dictionary's own terms
DEATH,WILL,complement,reject,,poetic; DEATH-LIFE is the axis
SMALL,LOVE,complement,reject,,no true semantic relation on the dictionary's own terms
REMAIN,HEALING,complement,reject,,no true semantic relation on the dictionary's own terms
FOOD,WITHDRAWAL,complement,reject,,no true semantic relation on the dictionary's own terms
RELEASE,TRANSFER,complement,reject,,not poles (release/hold)
ABIDING,CLEAN,synonym,reject,,hub artifact
UP,SLOW,synonym,reject,,no true semantic relation on the dictionary's own terms
END,ENDURE,synonym,reject,,morphological-surface artifact (shared letters); ending-vs-outlasting case too weak to assert
ACCEPT,POSITION,synonym,reject,,no true semantic relation on the dictionary's own terms
ABOVE,PEACE,synonym,reject,,hub artifact
WAIT,ACCOMMODATE,synonym,reject,,shared receptivity too generic (time vs things)
WATER,FEEL,synonym,reject,,water=emotion is symbolic tradition; geometry 135.8 contradicts kinship; don't force
AWARENESS,DAWN,synonym,reject,,"awakening metaphor; 70.5 sits in complement band with kin semantics - mismatch, don't force"
CLARITY,WAIT,synonym,reject,,no true semantic relation on the dictionary's own terms
HONOR,ADMIRATION,synonym,accept,synonym,respect shown / respect felt; 17.1 under 30; ds .96; both deg 3
ABOVE,SYNERGY,synonym,reject,,hub artifact
GROW,YAWN,synonym,reject,,no relation (both gradual openings is a stretch too far)
TIME,SHAME,synonym,reject,,no true semantic relation on the dictionary's own terms
LOVE,ACCEPT,synonym,retype,affinity,love-as-reception kinship; 6.3 near-collinear cores; ds .97
FORGET,EVIDENT,synonym,reject,,no true semantic relation on the dictionary's own terms
HEAVY,MEEK,synonym,reject,,no true semantic relation on the dictionary's own terms
BODY,CHARACTER,synonym,retype,complement,outer form vs inner nature - two constituents of person; core 93.5 ds .96 textbook orthogonal complement
MONOPOLIZE,QUALITY_ATTR,synonym,reject,,no true semantic relation on the dictionary's own terms
WILL,COMPASSION,synonym,reject,,co-location (11.7) without semantic kinship
SLOW,COAX,synonym,reject,,"shared gentleness is a mode, not meaning-kinship"
WAIT,DECAY,synonym,reject,,"both slow-temporal XUN, opposite valence"
WAIT,HINT,synonym,reject,,no true semantic relation on the dictionary's own terms
THERE,ABYSS,synonym,reject,,function-word degenerate
CLARITY,MOMENT,synonym,reject,,no true semantic relation on the dictionary's own terms
THINK,FALL,synonym,reject,,no true semantic relation on the dictionary's own terms
ABSORB,COMMAND,synonym,reject,,hub artifact
EARTH,COMBINE,synonym,reject,,no true semantic relation on the dictionary's own terms
SOFT,CLARITY,synonym,reject,,no true semantic relation on the dictionary's own terms
CHANGE,PROHIBIT,synonym,reject,,no true semantic relation on the dictionary's own terms
ACCEPT,SPATIAL,synonym,reject,,no true semantic relation on the dictionary's own terms
THREAT,WITNESS,synonym,reject,,no relation (threat/safety; witness unpaired here)
BECOMES,TRANSFORMATION,synonym,accept,synonym,verb/noun of one concept - descriptions cross-reference; 20.3; ZHEN/ZHEN
SEEK,SURFACE,synonym,reject,,"co-occurrence, not kinship"
ABSORB,PERMEATE,synonym,retype,affinity,perspectival inverses of one event (medium takes in / substance spreads through); 19.6
BEING,GREET,synonym,reject,,BEING zero-core-vector degenerate angle
CLARITY,AIM,synonym,reject,,no true semantic relation on the dictionary's own terms
REFUSE,DEVICE,synonym,reject,,no true semantic relation on the dictionary's own terms
FOUNDATION,ERUPT,synonym,reject,,near-miss opposition (135.0 ds .79): support-from-below vs burst-from-containment; not lexical opposites - noted
ABOVE,TENDER,synonym,reject,,hub artifact
FULL,ALTHOUGH,synonym,reject,,function-word degenerate
ABOVE,RETREAT,synonym,reject,,hub artifact
SLOW,WITH,synonym,reject,,function-word degenerate
NOW,MIND,synonym,reject,,"mindfulness kinship is thesis-level, not lexical"
JOURNEY,VISIBLE,synonym,reject,,no true semantic relation on the dictionary's own terms
INCEPTION,SOLSTICE,synonym,retype,affinity,threshold time-points: linear beginning / cyclic turning; 29.9
MEDITATE,ABYSS,synonym,reject,,21.4 co-location; 'moral void' in ABYSS blocks the kinship assertion
REST,PERSUADE,synonym,reject,,no true semantic relation on the dictionary's own terms
IMAGINE,JOURNEY,synonym,reject,,journey-of-imagination metaphor; 4.8 below affinity floor
HAPPINESS,FEELING,synonym,retype,affinity,hyponym - happiness is a feeling; 15.0 ds 1.00 DUI/DUI
SOLID,TRAP,synonym,reject,,no true semantic relation on the dictionary's own terms
HEAD,MORAL,synonym,reject,,no true semantic relation on the dictionary's own terms
MOVE,LANGUAGE,synonym,reject,,no true semantic relation on the dictionary's own terms
NURTURE,CARRY,synonym,reject,,no true semantic relation on the dictionary's own terms
AWARENESS,SHARE,synonym,reject,,no true semantic relation on the dictionary's own terms
PEACE,CONTROL,synonym,reject,,order-through-harmony vs order-through-force is a real axis but not the dictionary's PEACE pole (WAR is - linked this pass)
RIVAL,MIRROR,synonym,reject,,"rival-as-mirror is a thesis, not a lexical relation"
PERSIST,CHAT,synonym,reject,,no true semantic relation on the dictionary's own terms
ACCEPT,CHANCE,synonym,reject,,co-occurrence (accepting chance)
MEANING,LEVEL,synonym,reject,,no true semantic relation on the dictionary's own terms
NOW,SPREAD,synonym,reject,,no true semantic relation on the dictionary's own terms
TIME,MILD,synonym,reject,,no true semantic relation on the dictionary's own terms
UNSTABLE,INSIGHT,synonym,reject,,no true semantic relation on the dictionary's own terms
DIRECTION,MANNER,synonym,reject,,'way' polysemy (spatial path vs style)
SUBCONSCIOUS,STIMULATE,synonym,reject,,no true semantic relation on the dictionary's own terms
TASTE,COPPER,synonym,reject,,coppery-taste co-occurrence
TRUTH,PENTAGON,synonym,reject,,esoteric golden-ratio stretch
BIG,AGREE,synonym,reject,,no true semantic relation on the dictionary's own terms
RISE,NEVER,synonym,reject,,function-word degenerate
MAKE,NATURE,synonym,reject,,no true semantic relation on the dictionary's own terms
ABOVE,WAIT,synonym,reject,,hub artifact; ds .24
SEPARATION,NARROW,synonym,reject,,no true semantic relation on the dictionary's own terms
AGREE,SIDE,synonym,reject,,no true semantic relation on the dictionary's own terms
DOUBT,WAIT,synonym,reject,,suspended-state kinship too generic
CLARITY,EACH,synonym,reject,,function-word degenerate
FOOD,HAND,synonym,reject,,eating co-occurrence
JOY,FORCE,synonym,reject,,no true semantic relation on the dictionary's own terms
TAKE,MIST,synonym,reject,,no true semantic relation on the dictionary's own terms
LEFT,ACCEPT,synonym,reject,,artifact; ds .42
LEAD,COMPLY,synonym,retype,complement,direct vs yield authority poles; core 88.0 ds .99 LI/KAN
CALM,CLARITY,synonym,reject,,kin states not poles; 112.2
MORE,FLAT,synonym,reject,,no true semantic relation on the dictionary's own terms
SLOW,RISE,synonym,reject,,no true semantic relation on the dictionary's own terms
BEGIN,CONVERSATION,synonym,reject,,co-occurrence (begin a conversation)
WHO,FREE,synonym,reject,,query-word degenerate
ABYSS,DRIZZLE,synonym,reject,,no relation
MOTION,ANIMAL,synonym,reject,,"definitional feature (animals move), not conceptual kinship"
CHOOSE,REST,synonym,reject,,127.9 wide but not opposites (choose/refuse; rest/work)
JUSTICE,SEDIMENT_LAYER,synonym,reject,,layered-building metaphor
ABYSS,MOUTH,synonym,reject,,mouth-of-the-abyss co-occurrence
FORCE,THING,synonym,reject,,no true semantic relation on the dictionary's own terms
PAST,WOULD,synonym,reject,,modal degenerate
LIGHT,IMPORTANT,synonym,reject,,light/weighty pun inverted
I,GLOOMY,synonym,reject,,no true semantic relation on the dictionary's own terms
INSIDE,FUNDAMENTAL,synonym,reject,,the-fundamental-is-inside metaphor
ACCEPT,PURPOSE,synonym,reject,,no true semantic relation on the dictionary's own terms
JOY,RESILIENCE,synonym,reject,,kin not poles; 107.8
SAND,EXISTENCE,synonym,reject,,no true semantic relation on the dictionary's own terms
AIR,FEAR,synonym,reject,,elemental diagonal (air rises / fear descends)
DARK,ABYSS,synonym,reject,,true kin but 61.3 just outside affinity band; don't force - near-miss noted
FOOLISH,SCHOOL,synonym,reject,,no true semantic relation on the dictionary's own terms
ABOVE,SPREAD,synonym,reject,,hub artifact
MOMENT,CLEAR,synonym,reject,,no true semantic relation on the dictionary's own terms
PASSIVE,FEELING,synonym,reject,,no true semantic relation on the dictionary's own terms
FLUID,KNOWN,synonym,reject,,no true semantic relation on the dictionary's own terms
PERSIST,DANCE,synonym,reject,,no true semantic relation on the dictionary's own terms
TEACH,DEPTH,synonym,reject,,no true semantic relation on the dictionary's own terms
TEACH,FORCE,synonym,reject,,no true semantic relation on the dictionary's own terms
COURAGE,BREATH,synonym,reject,,take-a-breath-before-the-brave-act poetics
LEARN,ERODE,synonym,reject,,"10.9 co-location, build-vs-wear-away semantics - curiosity noted"
BEFORE,REMAIN,synonym,reject,,no true semantic relation on the dictionary's own terms
DECIDE,OCEAN,synonym,reject,,no true semantic relation on the dictionary's own terms
FAST,HURRY,synonym,accept,synonym,speed adjective/verb; 4.4
WARM,MIND,synonym,reject,,no true semantic relation on the dictionary's own terms
ORDER,ASSURANCE,synonym,reject,,no true semantic relation on the dictionary's own terms
RELATIONSHIP,TIME,synonym,reject,,no true semantic relation on the dictionary's own terms
TRUTH,FRAGMENTATION,synonym,retype,opposition,coherent-stable vs shattered-coherence (the shattered-mirror axis) - polarity on the descriptions' own terms; 149.7 ds .81 passes gates
SOLID,STEADY,synonym,accept,synonym,firmness axis near-synonyms; 24.3
FAST,SOLID,synonym,reject,,'hold fast' pun; ds .36
DUSK,ACCUMULATE,synonym,reject,,no true semantic relation on the dictionary's own terms
PIONEER,NATURE,synonym,reject,,no true semantic relation on the dictionary's own terms
CREATE,FIGHT,synonym,reject,,shared yang mode only
INTELLIGENCE,SUPPORT,synonym,reject,,no true semantic relation on the dictionary's own terms
GENESIS,REVIVAL,synonym,accept,synonym,life-arising-anew (first vs again - rebirth bridges); 0.1 NEAR-DUPLICATE VECTORS - crowding flagged in report
GRATITUDE,FEELING,synonym,retype,affinity,hyponym - gratitude is a feeling; 13.9
WISDOM,CUT,synonym,reject,,prajna-sword poetics
MIND,PLAY_THEATER,synonym,reject,,Cartesian-theater poetics; 21.2 co-location curiosity
ABSORB,GLEAM,synonym,retype,complement,absorb/radiate light axis; KAN/LI paired trigrams; core 101.9 ds .99
DRY,PERMANENT,synonym,reject,,weak; ds .49
SOMETIMES,HIGH,synonym,reject,,function-word degenerate
OBSCURE,RADIANT,synonym,retype,complement,hidden vs bright - KAN/LI clarity axis parallel to HIDDEN-VISIBLE family; 118.7 in band
GROUND,DIVINATION,synonym,reject,,beneath-the-surface co-occurrence
ROUGH,SIZE,synonym,reject,,no true semantic relation on the dictionary's own terms
UNITY,PROTECT,synonym,reject,,no true semantic relation on the dictionary's own terms
WHOLE,WAIT,synonym,reject,,no true semantic relation on the dictionary's own terms
SLOW,GRATITUDE,synonym,reject,,no true semantic relation on the dictionary's own terms
SADNESS,GROW,synonym,reject,,no true semantic relation on the dictionary's own terms
PAST,LONGING,synonym,reject,,nostalgia poetics; 146.2 wide but not lexical opposites
FIRE,UNSTABLE,synonym,reject,,kin semantics at opposition angle (132.2) - contradiction; don't force
CONSCIOUSNESS,FINE,synonym,reject,,no true semantic relation on the dictionary's own terms
EDGE,ERUPT_VERB,synonym,reject,,not opposites; 131.1
WATER,GRASP,synonym,reject,,can't-grasp-water imagery; diagonal
SUPPRESS,FINGER,synonym,reject,,no true semantic relation on the dictionary's own terms
CLOSE,ENDURE,synonym,reject,,no true semantic relation on the dictionary's own terms
BE,ETERNITY,synonym,reject,,degenerate 0.0 core angle
TIME,ASSIMILATE,synonym,reject,,no true semantic relation on the dictionary's own terms
ABIDING,CLARITY,synonym,reject,,hub artifact; ds .21
WATER,DIMINISH,synonym,reject,,no true semantic relation on the dictionary's own terms
AM,REFUSE,synonym,reject,,function-word degenerate
STRIKE,HURRY,synonym,retype,affinity,sudden-urgent action axis explicit in both; 12.7 ds 1.00 ZHEN/ZHEN
LEFT,PLAN,synonym,reject,,artifact; ds .40
TIME,ABYSS,opposition,reject,,ds .42; not opposites
OBSCURE,EMERGE,opposition,retype,complement,hidden vs arise-from-concealment - same axis opposite directions; core 102.5 in complement band
TIME,VIGOR,opposition,reject,,not opposites; 47.8
DARK,EMERGE,opposition,reject,,diagonal; OBSCURE-EMERGE accepted; DARK-LIGHT exists
SLOW,ERODE,opposition,retype,affinity,erosion is a species of gradual process - gradual explicit in both; 13.2
BEING,DOUBT,opposition,reject,,BEING zero-core-vector degenerate (Cartesian poetics noted)
THIS,NONE,opposition,reject,,diagonal; ALL-NONE exists at 90.0
HOLD,SPARK,opposition,reject,,not opposites
THIS,TRUTH,opposition,reject,,no relation
WILL,INTELLIGENCE,opposition,reject,,will/intellect tension is philosophical; 4.9 below affinity floor; don't force
KNOW,WHERE,opposition,reject,,query-word; ds .21
RECEIVE,ABYSS,opposition,reject,,abyss-receives-all imagery; 94.1 neither opposition nor clean pair
COLD,SOFT,opposition,reject,,shared yin-ness only; axes differ
BECOME,EMERGE,opposition,retype,affinity,coming-to-be kinship; ZHEN/ZHEN ds .97; 29.6
SHAME,PART,opposition,reject,,no relation
ABOVE,COMPANION,opposition,reject,,hub; 1.5 degenerate co-location
SADNESS,MEEK,opposition,reject,,4.5 below affinity floor; axes differ
UNITY,ABYSS,opposition,reject,,"proposed opposite, geometry says neighbors (39.6) - QA-flavored curiosity noted; don't force"
LEARN,ENDURE,opposition,reject,,not opposites
UNDERSTAND,INTELLIGENCE,opposition,reject,,obvious kin but 64.8 between bands; don't force
CLARITY,ESSENCE,opposition,reject,,knowing/known complementarity too loose
GROW,LESS,opposition,reject,,semantic opposites at core 20.9 - geometry contradicts label; flagged as encoding tension
NOW,FORGET,opposition,reject,,no true semantic relation on the dictionary's own terms
HEAVY,ANIMAL,opposition,reject,,inert/animate stretch; 129.8 is wide-angle noise
SEPARATION,NATURE,opposition,reject,,no true semantic relation on the dictionary's own terms
AIR,SHOULD,opposition,reject,,modal degenerate
ABIDING,HOW,opposition,reject,,hub + query-word; ds .00
YANG,FIND,opposition,reject,,no true semantic relation on the dictionary's own terms
WITHER,DECAY,opposition,retype,synonym,near-synonyms proposed as opposition (embedder rotation collapse); 14.5 ds .99 XUN/XUN
PEACE,GRASP,opposition,reject,,non-grasping-peace is thesis; PEACE-WAR linked instead this pass
ALERT,DORMANT,opposition,accept,opposition,awake-readiness vs sleeping-capacity - true opposites same domain; 169.0 ds .96 textbook
SLOW,ALL,opposition,reject,,not opposites; 134.8 wide-angle noise
SMALL,DREAD,opposition,reject,,ds .34
YANG,ANIMAL,opposition,reject,,no true semantic relation on the dictionary's own terms
SMALL,FREE,opposition,reject,,contracted/unbound diagonal (size vs constraint axes)
THINK,DEPLETE,opposition,reject,,no true semantic relation on the dictionary's own terms
SURGE,STAGNATION,opposition,accept,opposition,flow poles: rushing vs blocked; 149.8 ds .93; ZHEN/XUN
SORROW,HARD,opposition,reject,,no true semantic relation on the dictionary's own terms
RIGHT,INSIGHT,opposition,reject,,dexter/correct pun
CREATE,GROUP,opposition,reject,,no true semantic relation on the dictionary's own terms
FEEL,ACCEPT,opposition,reject,,reception-mode kinship too generic
FOOD,BAKE,opposition,reject,,verb-object co-occurrence
SORROW,TRUTH,opposition,reject,,149.2 wide but not opposites; TRUTH's antipodal cluster (SORROW/FALL/FRAGMENTATION) noted
AWE,KNOWLEDGE,opposition,reject,,61.2 between bands; wonder/knowing tension is poetics
ACCEPT,STRONG,opposition,reject,,no true semantic relation on the dictionary's own terms
EARTH,SADNESS,opposition,reject,,ds .24
ABIDING,DESTROY,opposition,reject,,hub; stability/destruction reads opposite but geometry says 36.8 - flagged like GROW-LESS
ACCOMMODATE,ENJOYMENT,opposition,reject,,no true semantic relation on the dictionary's own terms
FUTURE,ABSORB,opposition,reject,,hub artifact
ABIDING,WHERE,opposition,reject,,hub + query-word
RELEASE,AWAKEN,opposition,reject,,not opposites; 119.9 band edge
PART,GLEEFUL,opposition,reject,,no true semantic relation on the dictionary's own terms
DELIGHT,EMERGE,opposition,reject,,no true semantic relation on the dictionary's own terms
UNDERSTAND,WILL,opposition,reject,,intellect/will again; 64.2 between bands
KNOW,DELIGHT,opposition,reject,,no true semantic relation on the dictionary's own terms
CONTAIN,DEJECTION,opposition,reject,,no true semantic relation on the dictionary's own terms
SEPARATION,STRUCTURE,opposition,reject,,structure requires separation - not opposites
SHAME,POWER,opposition,defer,,170.5 ds .74 passes opposition gates; inadequacy-vs-capacity polarity defensible but lexically non-obvious; SHAME-PRIDE complement already exists at 93.8 - Joe/main session call
