concept1,concept2,score,grounded_angle_7d,in_complement_band
COURAGE,BREATH,7.640677452087402,57.7,False
LEARN,ERODE,7.640260696411133,33.5,False
BEFORE,REMAIN,7.630885124206543,64.1,True
DECIDE,OCEAN,7.628238677978516,80.5,True
FAST,HURRY,7.627947807312012,21.8,False
WARM,MIND,7.619183540344238,38.2,False
ORDER,ASSURANCE,7.615828514099121,47.9,False
RELATIONSHIP,TIME,7.594697952270508,65.4,True
TRUTH,FRAGMENTATION,7.586647033691406,83.6,True
SOLID,STEADY,7.57295036315918,32.0,False
FAST,SOLID,7.565887928009033,101.2,True
DUSK,ACCUMULATE,7.563736438751221,31.0,False
PIONEER,NATURE,7.559009552001953,53.8,False
CREATE,FIGHT,7.554426193237305,25.6,False
INTELLIGENCE,SUPPORT,7.552645683288574,42.2,False
GENESIS,REVIVAL,7.5460944175720215,12.0,False
GRATITUDE,FEELING,7.545107364654541,18.3,False
WISDOM,CUT,7.544349670410156,73.8,True
MIND,PLAY_THEATER,7.5410895347595215,27.6,False
ABSORB,GLEAM,7.537416934967041,53.5,False
DRY,PERMANENT,7.529428005218506,43.2,False
SOMETIMES,HIGH,7.528606414794922,67.2,True
OBSCURE,RADIANT,7.515783309936523,67.0,True
GROUND,DIVINATION,7.507680416107178,34.5,False
ROUGH,SIZE,7.501131534576416,50.3,False
UNITY,PROTECT,7.500426292419434,30.6,False
WHOLE,WAIT,7.4942522048950195,48.6,False
SLOW,GRATITUDE,7.492144584655762,79.1,True
SADNESS,GROW,7.49180793762207,32.4,False
PAST,LONGING,7.490355491638184,91.6,True
FIRE,UNSTABLE,7.489522933959961,88.2,True
CONSCIOUSNESS,FINE,7.485912322998047,51.2,False
EDGE,ERUPT_VERB,7.485638618469238,79.4,True
WATER,GRASP,7.48111629486084,71.9,True
SUPPRESS,FINGER,7.47830057144165,65.0,True
CLOSE,ENDURE,7.4681525230407715,62.2,True
BE,ETERNITY,7.467526435852051,75.0,True
TIME,ASSIMILATE,7.466094493865967,64.1,True
ABIDING,CLARITY,7.461512565612793,85.9,True
WATER,DIMINISH,7.452131271362305,57.9,False
AM,REFUSE,7.435098648071289,57.0,False
STRIKE,HURRY,7.431764125823975,9.6,False
LEFT,PLAN,7.428013801574707,58.7,False
